slang_term,meaning,slang_sentence,normal_sentence,source
Stay Winning,keep succeeding,"You crushed that interview, stay winning king.","You nailed that interview, keep the momentum going.",grok
EMFBI,sorry to interrupt,"EMFBI, but I think you left your keys on the table.","Sorry to jump in, but I think your keys are still on the table.",grok
Subtle Flex,quiet brag,Casually dropping the vacation pics is a classic subtle flex.,Posting those vacation shots so casually is just a quiet show-off.,grok
Sharp Focus,clear concentration,I need sharp focus for the next hour if I’m finishing this draft.,I have to concentrate hard for the next hour to finish this draft.,grok
Come Through,show up or deliver,"Please come through with the snacks, we’re starving over here.","Please actually bring the snacks, everyone’s getting hungry.",grok
THX,thanks,"THX for covering my shift last minute, you’re a lifesaver.","Thanks for taking my shift at the last minute, you really helped.",grok
Scarcity Mindset,fear of lack,Stop living in scarcity mindset and just share the notes already.,Quit thinking everything’s limited and just share the notes.,grok
Cold Start,begin unprepared,I had to cold start the meeting because nobody sent the agenda.,I started the meeting with zero prep since no agenda showed up.,grok
Low Effort,minimal work,That one-word text felt super low effort after all my messages.,That single-word reply felt pretty half-hearted after everything I wrote.,grok
FBO,officially dating,They finally went FBO after six months of soft launches.,They made the relationship official on Facebook after half a year.,grok
Broken,too powerful,That new gun skin is completely broken in ranked right now.,That new gun skin is ridiculously overpowered in ranked matches.,grok
ATSL,same idea,"ATSL, we should also check the guest count before ordering food.","Along those same lines, let’s confirm headcount before buying food.",grok
Hashtag Trend,popular tag,Everyone’s riding that hashtag trend for free exposure today.,That popular hashtag is blowing up and people are jumping on it.,grok
SAL,so funny,The way he tripped over nothing was pure SAL.,Him tripping over absolutely nothing was hilarious.,grok
Reported,flagged,That rude comment got reported within seconds.,Someone flagged that mean comment almost immediately.,grok
Love Language,way of showing love,Acts of service is definitely my love language.,I feel most cared for when people do helpful things for me.,grok
Main Scene,key event,The award ceremony was the main scene of the whole weekend.,The award ceremony was the biggest moment of the weekend.,grok
ICBW,could be worse,"ICBW, at least the flight only got delayed an hour.","It could be worse, the flight’s only an hour late so far.",grok
Big brain,ironically dumb,"I replied-all with a private rant, real big brain energy.","I accidentally sent a private rant to everyone, what a dumb move.",grok
DILLIGAS,I don't care,He keeps texting me drama and I'm like DILLIGAS at this point.,He keeps texting me drama and I just don't care anymore.,grok
W/O,without,"I'm heading to the store real quick W/O my wallet, oops.","I'm heading to the store real quick without my wallet, oops.",grok
SUITM,see you tomorrow morning,"I'm wiped, going to sleep now, SUITM.","I'm wiped, going to sleep now, see you in the morning.",grok
ADBB,"all finished, goodbye","Just hit send on the email, ADBB for tonight.","Just hit send on the email, all done and signing off for tonight.",grok
L+ratio,"terrible take, everyone disagrees",Bro posted that hot take and got hit with L+ratio instantly.,Dude posted that wild opinion and everyone clapped back hard.,grok
Sweet Spot,perfect position,This couch cushion is the sweet spot for movie night.,This couch cushion is the perfect place for movie night.,grok
JT (J/T),just kidding around,"Relax, I was JT about the haircut looking bad.","Relax, I was only teasing about the haircut looking bad.",grok
Rain Check,reschedule for later,"Can't make dinner tonight, can I take a rain check?","Can't make dinner tonight, can we push it to another day?",grok
Tweaking,overreacting hard,She's tweaking because someone liked her ex's photo.,She's freaking out way too much because someone liked her ex's photo.,grok
Fam,close friend or crew,"Appreciate you looking out for me, fam.","Appreciate you looking out for me, buddy.",grok
Understimulated,bored out of my mind,Sitting through this meeting has me so understimulated.,Sitting through this meeting has me completely bored.,grok
Beat your face,put on full makeup,Give me ten minutes to beat my face before we leave.,Give me ten minutes to do my makeup before we leave.,grok
G2CU,nice seeing you,"It's been forever, G2CU at the reunion!","It's been forever, good to see you at the reunion!",grok
e-girl,online alternative girl style,She's full e-girl with the striped sleeves and heavy eyeliner.,She's deep into that online goth-alt look with the striped sleeves and heavy eyeliner.,grok
IAAL,I'm a lawyer,"Don't post that online, trust me IAAL.","Don't post that online, trust me I'm a lawyer.",grok
Period,and that's final,"I'm not apologizing for calling it out, period.","I'm not apologizing for calling it out, end of story.",grok
Villain Energy,dark scheming vibe,She walked into the meeting with pure villain energy.,She walked into the meeting giving full bad-guy energy.,grok
Good Juju,positive luck,Keep that charm for good juju on your interview.,Keep that charm for some good luck on your interview.,grok
KOTD,shoes I'm wearing today,"Peep the KOTD, finally got these limited drops.","Check out today's sneakers, finally got these limited ones.",grok
Mood Booster,something that lifts spirits,That meme dump was a real mood booster this morning.,That pile of memes really lifted my spirits this morning.,grok
EOL,class is over,Teacher just said EOL so packs are flying out.,Teacher just said lecture's done so bags are flying out.,grok
Missed Vibe,didn't match the energy,His speech totally missed vibe at the party.,His speech completely clashed with the party's energy.,grok
SBT,my bad,"Left you on read all day, SBT.","Left you on read all day, sorry about that.",grok
TMWFI,trust me on this,"Skip that place, the new spot is better TMWFI.","Skip that place, the new spot is better, take my word for it.",grok
Next Big Thing,upcoming star,Everyone's saying she's the next big thing in music.,Everyone's saying she's about to blow up in music.,grok
B9,boss is watching,"Yo keep it clean in the group chat, B9 just hopped on.","Hey keep it professional in the group chat, the boss just joined.",grok
Daily Reset,fresh start,I need a full daily reset after that chaotic weekend.,I need a complete fresh start after that crazy weekend.,grok
KOW,knock on wood,"Still haven't caught that cold everyone has, KOW.","Still haven't caught that cold going around, knock on wood.",grok
Explore Page,discovery feed,I discovered this wild recipe on the Explore Page last night.,I found this crazy recipe on the discovery feed last night.,grok
